0.5378777863318627,0.32521906563210323,0.5954869492346693,228,66,26,100,Mr. Hi; NodeID 0
0.36248441511385576,0.3804544586748941,0.5738250178349766,228,66,26,100,Mr. Hi; NodeID 1
0.36466183891859727,0.5436501013941176,0.5716530802851251,228,66,26,100,Mr. Hi; NodeID 2
0.45164539365771483,0.4084518622071812,0.7521607563434048,228,66,26,100,Mr. Hi; NodeID 3
0.7034451191649235,0.12179644901466569,0.6663340783922632,228,66,26,100,Mr. Hi; NodeID 4
0.7946131393492104,0.09654946019181115,0.508561978644626,228,66,26,100,Mr. Hi; NodeID 5
0.8422817423889251,0.15015275886702917,0.5650165289927667,228,66,26,100,Mr. Hi; NodeID 6
0.3343990811299862,0.398158028906095,0.7237194386024107,228,66,26,100,Mr. Hi; NodeID 7
0.3663789087085665,0.5965335989660068,0.39605300054495346,228,66,26,100,Mr. Hi; NodeID 8
0.0,0.6996590696014429,0.5179594796234035,26,200,228,100,Officer; NodeID 9
0.6797330868541784,0.032728314953006765,0.5768192375281114,228,66,26,100,Mr. Hi; NodeID 10
0.7269496021786803,0.23319340570608638,0.8496575947655459,228,66,26,100,Mr. Hi; NodeID 11
0.5133574684178025,0.3318125819478684,1.0,228,66,26,100,Mr. Hi; NodeID 12
0.4121438360696771,0.494639327003707,0.5275097927305814,228,66,26,100,Mr. Hi; NodeID 13
0.25881646648181195,0.7596980624494093,0.0,26,200,228,100,Officer; NodeID 14
0.28809473954270715,0.9424560744088646,0.18430669520315485,26,200,228,100,Officer; NodeID 15
1.0,0.0,0.5011198487897748,228,66,26,100,Mr. Hi; NodeID 16
0.3755287357478968,0.08396351770462557,0.5644481194039143,228,66,26,100,Mr. Hi; NodeID 17
0.014686727149412049,0.7916175977557992,0.06266792001482074,26,200,228,100,Officer; NodeID 18
0.35546899880564964,0.35698334262677067,0.35457225072202386,228,66,26,100,Mr. Hi; NodeID 19
0.42612354767831495,0.895157568395935,0.003955225189427369,26,200,228,100,Officer; NodeID 20
0.3333488110804528,0.17099824775853978,0.7361450754686748,228,66,26,100,Mr. Hi; NodeID 21
0.21240291743120113,0.8963873279086686,0.060524241582850746,26,200,228,100,Officer; NodeID 22
0.3488953539856136,0.9188208312599659,0.3679979116213822,26,200,228,100,Officer; NodeID 23
0.5320764783538745,0.9924682764644859,0.6104680778667849,26,200,228,100,Officer; NodeID 24
0.5210037405941442,0.9347083676397094,0.45357180417761056,26,200,228,100,Officer; NodeID 25
0.008154940129214305,1.0,0.26199598845621974,26,200,228,100,Officer; NodeID 26
0.3711889265392958,0.8617870958566214,0.5279570378290002,26,200,228,100,Officer; NodeID 27
0.28637188146103837,0.7541429406149288,0.631881835525322,26,200,228,100,Officer; NodeID 28
0.16394270030437683,0.950410843327641,0.2836224707505146,26,200,228,100,Officer; NodeID 29
0.25238770530581806,0.5878218544932317,0.31065157941568616,26,200,228,100,Officer; NodeID 30
0.4627816740183341,0.7648615770689439,0.46315479848939645,26,200,228,100,Officer; NodeID 31
0.31249706953734796,0.7877219677920339,0.25237653336276994,26,200,228,100,Officer; NodeID 32
0.2668202442449459,0.7675166674995468,0.3243997235355589,26,200,228,100,Officer; NodeID 33
