club Mr. Hi; nodeID 0
club Mr. Hi; nodeID 1
club Mr. Hi; nodeID 2
club Mr. Hi; nodeID 3
club Mr. Hi; nodeID 4
club Mr. Hi; nodeID 5
club Mr. Hi; nodeID 6
club Mr. Hi; nodeID 7
club Mr. Hi; nodeID 8
club Officer; nodeID 9
club Mr. Hi; nodeID 10
club Mr. Hi; nodeID 11
club Mr. Hi; nodeID 12
club Mr. Hi; nodeID 13
club Officer; nodeID 14
club Officer; nodeID 15
club Mr. Hi; nodeID 16
club Mr. Hi; nodeID 17
club Officer; nodeID 18
club Mr. Hi; nodeID 19
club Officer; nodeID 20
club Mr. Hi; nodeID 21
club Officer; nodeID 22
club Officer; nodeID 23
club Officer; nodeID 24
club Officer; nodeID 25
club Officer; nodeID 26
club Officer; nodeID 27
club Officer; nodeID 28
club Officer; nodeID 29
club Officer; nodeID 30
club Officer; nodeID 31
club Officer; nodeID 32
club Officer; nodeID 33
