,X,Y,Z,Gene  ID
0,-0.16938698149136583,-0.822529648144661,0.5429116211910221,0
1,-0.04629995089567159,-0.49529280124752645,0.8674914152770832,1
2,0.6334071081383152,0.7737193199983765,-0.012403597103519992,2
3,-0.9814072853288859,0.17340087796658507,-0.08229140795857331,3
4,-0.8838555926583078,-0.08452237087097195,0.46006006145826367,4
5,0.5814428469940828,-0.7127139001311643,0.39238133523301105,5
6,0.925258560999341,-0.3527046685997867,0.13962812053932158,6
7,0.5270969471643584,0.19946709078268188,-0.826063973300317,7
8,0.963919285740687,-0.020492241696201865,0.2654047448849175,8
9,-0.920885955929293,-0.37343083661050835,-0.111885952829513,9
10,0.48626676303433525,-0.2791380584056317,-0.8280257118698935,10
11,-0.5616656373430131,0.43763702927982345,-0.7021435340663602,11
12,-0.8925330426080269,-0.018404083223478165,-0.4506063221633285,12
13,-0.553533094941927,0.5915703532456875,0.5862129561556824,13
14,-0.6335029328548583,0.7663070537176964,-0.1069931469151019,14
15,0.16995501044945377,-0.5735233110938276,-0.8013652762973317,15
16,0.29312341876824705,0.955088688846134,-0.0434080385157796,16
17,0.25412388688752063,-0.7778543011885195,0.5747727692190181,17
18,0.5395200323406056,0.684880587378774,0.48975168783261724,18
19,-0.22085414020398159,-0.4618742955108636,-0.8590084888411195,19
20,0.7768908415855822,-0.5938317355866524,-0.20929522228323752,20
21,-0.9169915687095875,0.35950177049385323,0.1728726118484777,21
22,-0.35323496904309754,0.3569201558850403,0.8647734148134529,22
23,-0.22066103869928455,0.7232352432972338,0.6544000984512025,23
24,-0.7976266771325218,0.1483138374640143,0.5846320975991909,24
25,0.25792204287136605,0.7195739802676372,-0.6447398752387286,25
26,0.3343176053873906,-0.9190782713347042,0.20863094182899378,26
27,-0.4872465937101797,-0.8643239648545678,0.12463884104045216,27
28,0.3551470071327147,0.1525608252862221,0.9222775059127606,28
29,-0.29152106305617326,0.8991707856037163,-0.3263546661400661,29
30,0.2744801413535393,0.9152467301083747,0.2949306274846157,30
31,-0.05680030885870001,-0.9910923674371077,-0.12045598416627322,31
32,-0.3944274071497588,-0.6052048823600679,-0.691486855158256,32
33,0.7010619070662495,0.23705001482042054,0.6725470191252594,33
